title,city,province,price_start,price_end,price_interval,price_currency,description,date,expertise,type,functions,sectors,portal
support,Sant Cugat del Vallès,Barcelona,,,,euro,date posted  sep 4  2020 location  sant cugat vallès  barcelona area  spain  job description  bmm seeking support technician join team operating barcelona office  reporting manager europe  responsibilities duties assist manager studies surveys proposed existing machine applications  installation support help  team use computing equipment software  maintain date knowledge new equipment  systems programming techniques appropriate organisation  support manager overall maintenance development bmm ’ internal systems infrastructure  support development tools techniques defined manager  support consultants requiring assistance  provide support manager related set up infrastructure procedures required bmm ’ information  physical security policy  provide support record  track service quality levels  provide technical input software changes required establish new training induction program staff accordingly instructions received manager  support manager provide technical solution making business information available staff  looking live near one offices  sant cugat vallés surroundings spain bologna italy  currently live near office sant cugat vallés  barcelona  surroundings  starting professional career around 1 year experience support department medium higher level technical studies related telecommunications  computers  networks similar finishing  speak spanish fluency high level english  dynamism  proactivity  initiative  service orientation communication skills know bit linux python  required highly appreciated   offer working solid multinational group real opportunities contact people different cultures practice english working solid multinational group frequent people different cultures use english language skills real  young  dynamic  informal environment  opportunity learn develop professional profile,2020-10-23,,,,,indeed
qa tester,Sant Cugat del Vallès,Barcelona,,,,euro,date posted  oct 22  2020 location  sant cugat vallès  barcelona area  spain  job description  bmm seeking qa tester  systems consultant  join team operating barcelona office  reporting group manager land based igaming services delivery  main goal role deliver specific accountabilities identified he she assigned role project leader participant team based projects reporting project leader  responsibilities duties ensure tests necessary project carried ensure quality work tests strict adherence bmm ’ standards procedures  document test results managing incidents raised project  complete project agreed deadlines within budget  group manager needs alerted timely manner possible  accuracy reports  recommendation letters status reports written project  adhere bmm ’ project management procedures  recording reviewing time spent daily  continuous improvement review bmm ’ standards procedures achieve high quality deliverables  provide input design hardware software tests design build tools bmm ’ testing program communicate respective group manager assigned project leaders  project leaders may member group  looking currently live near office sant cugat vallés  barcelona  surroundings  electronic  computer science degree  diploma equivalent least 1 year experience software  hardware testing equivalent  speak spanish fluency  high level english  dynamism  proactivity  initiative  service orientation communication skills know bit linux python  required highly appreciated   offer working solid multinational group frequent people different cultures use english language skills real  young  dynamic  informal environment  professional development according potential  commitment skills permanent contract directly company probation,2020-10-23,,,,,indeed
mathematics consultant,Sant Cugat del Vallès,Barcelona,,,,euro,date posted  oct 22  2020 location  sant cugat vallès  barcelona area  spain  job description  bmm seeking mathematics consultant join team operating barcelona  reporting senior mathematician  primary objective role evaluate mathematical models electronic poker machines  casino table games  internet casino games lotteries  responsibilities duties evaluate written rules specifications game  including parameters payouts evaluate verify mathematical model  ensure quality work strict adherence bmm ’ standards procedures  adapt in house programs writing new algorithms generate test cases establish combination tests  ensure quality work tests strict adherence bmm ’ standards procedures  complete tasks agreed deadlines within budget  mathematcis manager project leader needs alerted timely manner possible  accuracy reports  recommendation letters status reports written project  adhere bmm ’ project management procedures  continuous improvement review bmm ’ standards procedures achieve high quality deliverables  design build tools bmm ’ testing program looking currently live near office sant cugat vallés  barcelona  surroundings  least 1 year experience software testing equivalent  programming  preferably c  statistical data analysis it computer science mathematical statistics degree  diploma equivalent  following soft skills  autonomy  proactivity  social abilities interpersonal communication  multitasking  flexibility  resilience  work pressure customercentric  offer working solid multinational group frequent people different cultures use english language skills real  young  dynamic  informal environment  professional development according potential  commitment skills permanent contract directly company probation period possibility work remotely hours per,2020-10-23,,,,,indeed
€1500 mes ventas internet ,Tarragona,Tarragona,1500,,monthly,euro,buscamos personas trabajar ventas  dedicando 3 horas dia  ventas internet  principalmente  recibirás  sitio web propio aplicación móvil apoyo call center mundial envíos toda españa través plataforma automatizada recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes 2021 posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa  postula hoy reunión informativa virtual,2020-10-23,,,,,indeed
jovenes €1500 ventas internet ,Tarragona,Tarragona,1500,,monthly,euro,buscamos personas trabajar ventas  dedicando 3 horas día  ventas internet  principalmente  recibirás  sitio web propio aplicación móvil apoyo call center mundial envíos españa través plataforma automatizada recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes capacitación casa matriz  posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa ,2020-10-23,,,,,indeed
 €1500 mes ventas experiencia ,Tarragona,Tarragona,,,,euro,buscamos personas trabajar ventas  dedicando 3 horas dia  ventas internet  principalmente  recibiras  sitio web propio aplicacion movil apoyo call center mundial envios toda españa través plataforma automatizada recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes 2021 posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa  postula hoy reunion informativa virtual,2020-10-23,,,,,indeed
jovenes €1500 mes trabajando ventas internet ,Tarragona,Tarragona,1500,,monthly,euro,buscamos jóvenes trabajar ventas modelo tele trabajo  dedicando 3 horas día  ventas internet  principalmente  recibirás sitio web propio aplicación móvil  apoyo constante call center lograr realizar envíos españa través plataforma automatizada  recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes capacitación casa matriz  posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa    horarios libres   postula hoy reunión informativa virtual,2020-10-23,,,,,indeed
€1500 mes trabajando ventas internet toda edad ,Tarragona,Tarragona,1500,,monthly,euro,buscamos personas trabajar ventas  dedicando 3 horas día  ventas internet  principalmente  recibirás  sitio web propio aplicación móvil apoyo call center mundial envíos españa través plataforma automatizada recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes capacitación casa matriz  posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa  postula hoy reunión informativa virtual,2020-10-23,,,,,indeed
atencion jovenes €1500 teletrabajo  ventas internet ,Tarragona,Tarragona,1500,,monthly,euro,buscamos personas trabajar ventas modelo teletrabajo  dedicando 3 horas día  ventas internet  principalmente  recibirás sitio web propio aplicación móvil  apoyo constante call center lograr realizar envíos españa través plataforma automatizada  recibirá capacitaciones constantes  virtuales  contingencia  incentivos adicionales  bonos dinero viajes capacitación casa matriz  posibilidad hacer carrera empresa existe formato part time especial estudiantes personas necesitan segundo ingreso trabajar casa  postula hoy reunión informativa virtual,2020-10-23,,,,,indeed
¿quieres teletrabajar casa  experiencia formación gratuita  ref 19775,Toledo,Toledo,,,,euro,si emprended  r  ganas trabajar aprender oportunidad  necesaria experiencia  compatible actividades vida familiar  horario flexible formación continua  trabajo casa formar parte equipo trabajo tiempo parcial total  ingresos variables según dedicación  sector pleno desarrollo continuo crecimiento  incorporación inmediata,2020-10-23,,,,,indeed
